Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2018-19,WA,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"13,073,457.40","13,947,354.50"
2018-19,WA,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"609,027,426.64","679,557,750.09"
2018-19,WA,Capital expenditure,Capital expenditure,State and local government,State and local government,"206,000,000.00","224,401,524.94"
2018-19,WA,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"66,934,732.53","70,232,079.65"
2018-19,WA,Hospitals,Private hospitals,Australian Government,DoHAC and other,"68,198,376.52","71,558,291.97"
2018-19,WA,Hospitals,Private hospitals,Australian Government,Premium rebates,"350,719,688.77","367,996,885.73"
2018-19,WA,Hospitals,Private hospitals,Non-government,Health insurance funds,"1,019,990,503.73","1,070,237,402.88"
2018-19,WA,Hospitals,Private hospitals,Non-government,Individuals,"334,534,596.18","351,014,481.09"
2018-19,WA,Hospitals,Private hospitals,Non-government,Other source of funds,"177,694,582.57","186,448,195.21"
2018-19,WA,Hospitals,Private hospitals,State and local government,State and local government,"963,768,508.33","1,011,245,792.54"
2018-19,WA,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"57,015,159.26","59,823,847.13"
2018-19,WA,Hospitals,Public hospital services,Australian Government,DoHAC and other,"2,481,653,763.26","2,603,929,341.96"
2018-19,WA,Hospitals,Public hospital services,Australian Government,Premium rebates,"24,121,249.46","25,309,513.45"
2018-19,WA,Hospitals,Public hospital services,Non-government,Health insurance funds,"70,151,309.37","73,607,111.90"
2018-19,WA,Hospitals,Public hospital services,Non-government,Individuals,"270,976,019.01","284,324,873.39"
2018-19,WA,Hospitals,Public hospital services,Non-government,Other source of funds,"40,000,068.29","41,970,556.64"
2018-19,WA,Hospitals,Public hospital services,State and local government,State and local government,"3,094,536,781.38","3,246,980,237.46"
2018-19,WA,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"4,250,000.00","4,460,487.98"
2018-19,WA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-4,250,000.00","-4,460,487.98"
2018-19,WA,Other services,Administration,Australian Government,Department of Veterans' Affairs,0.00,0.00
2018-19,WA,Other services,Administration,Australian Government,DoHAC and other,"195,343,235.67","205,077,085.51"
2018-19,WA,Other services,Administration,Australian Government,Premium rebates,"67,215,384.54","70,544,332.95"
2018-19,WA,Other services,Administration,Non-government,Health insurance funds,"195,481,052.63","205,162,561.46"
2018-19,WA,Other services,Administration,Non-government,Individuals,"12,131,240.86","12,732,059.78"
2018-19,WA,Other services,Administration,Non-government,Other source of funds,"1,790,750.58","1,879,440.34"
2018-19,WA,Other services,Administration,State and local government,State and local government,"534,321,821.79","560,784,956.52"
2018-19,WA,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"177,200.00","189,350.79"
2018-19,WA,Other services,Aids and appliances,Australian Government,DoHAC and other,"62,555,761.64","66,845,276.51"
2018-19,WA,Other services,Aids and appliances,Australian Government,Premium rebates,"33,108,498.36","35,378,783.18"
2018-19,WA,Other services,Aids and appliances,Non-government,Health insurance funds,"96,288,731.44","102,891,351.80"
2018-19,WA,Other services,Aids and appliances,Non-government,Individuals,"587,556,696.25","627,846,081.58"
2018-19,WA,Other services,Aids and appliances,Non-government,Other source of funds,"35,411,225.26","37,839,410.50"
2018-19,WA,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"6,870,404.51","7,208,855.23"
2018-19,WA,Other services,Patient transport services,Australian Government,DoHAC and other,"40,168,238.01","42,147,010.75"
2018-19,WA,Other services,Patient transport services,Australian Government,Premium rebates,"11,153,554.38","11,703,002.16"
2018-19,WA,Other services,Patient transport services,Non-government,Health insurance funds,"32,437,641.55","34,035,588.69"
2018-19,WA,Other services,Patient transport services,Non-government,Individuals,"3,249,672.29","3,409,758.05"
2018-19,WA,Other services,Patient transport services,Non-government,Other source of funds,"9,589,440.41","10,061,836.62"
2018-19,WA,Other services,Patient transport services,State and local government,State and local government,"263,406,511.73","276,382,476.09"
2018-19,WA,Primary health care,All other medications,Australian Government,DoHAC and other,"102,579,783.00","104,598,537.96"
2018-19,WA,Primary health care,All other medications,Australian Government,Premium rebates,"2,727,006.94","2,734,446.54"
2018-19,WA,Primary health care,All other medications,Non-government,Health insurance funds,"7,930,895.44","7,952,531.86"
2018-19,WA,Primary health care,All other medications,Non-government,Individuals,"1,065,109,965.90","1,089,017,725.69"
2018-19,WA,Primary health care,All other medications,Non-government,Other source of funds,"11,938,824.27","11,971,394.80"
2018-19,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"27,148,011.35","30,664,211.55"
2018-19,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"902,294,453.71","1,016,522,753.89"
2018-19,WA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"144,029,979.58","162,684,688.31"
2018-19,WA,Primary health care,Community health and other,Australian Government,DoHAC and other,"129,098,342.71","135,260,611.38"
2018-19,WA,Primary health care,Community health and other,Australian Government,Premium rebates,"7,323.92","7,686.65"
2018-19,WA,Primary health care,Community health and other,Non-government,Health insurance funds,"21,299.99","22,354.91"
2018-19,WA,Primary health care,Community health and other,Non-government,Individuals,"24,197,799.34","25,396,233.69"
2018-19,WA,Primary health care,Community health and other,Non-government,Other source of funds,"322,355.97","338,321.16"
2018-19,WA,Primary health care,Community health and other,State and local government,State and local government,"867,810,984.25","910,790,698.09"
2018-19,WA,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"8,971,392.04","9,634,090.20"
2018-19,WA,Primary health care,Dental services,Australian Government,DoHAC and other,"14,467,627.36","15,536,321.01"
2018-19,WA,Primary health care,Dental services,Australian Government,Premium rebates,"110,692,939.85","118,869,598.13"
2018-19,WA,Primary health care,Dental services,Non-government,Health insurance funds,"321,925,888.65","345,705,887.53"
2018-19,WA,Primary health care,Dental services,Non-government,Individuals,"997,987,927.46","1,071,707,229.41"
2018-19,WA,Primary health care,Dental services,Non-government,Other source of funds,"3,480,951.90","3,738,082.61"
2018-19,WA,Primary health care,Dental services,State and local government,State and local government,"75,972,385.11","81,584,307.91"
2018-19,WA,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"31,304,642.38","33,589,756.71"
2018-19,WA,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"166,651,553.66","178,816,453.95"
2018-19,WA,Primary health care,Other health practitioners,Australian Government,Premium rebates,"40,178,420.37","43,111,285.19"
2018-19,WA,Primary health care,Other health practitioners,Non-government,Health insurance funds,"116,850,033.08","125,379,620.54"
2018-19,WA,Primary health care,Other health practitioners,Non-government,Individuals,"6,222,493.93","6,676,711.22"
2018-19,WA,Primary health care,Other health practitioners,Non-government,Other source of funds,"32,485,812.81","34,857,147.88"
2018-19,WA,Primary health care,Public health,Australian Government,DoHAC and other,"150,276,315.53","157,646,834.95"
2018-19,WA,Primary health care,Public health,State and local government,State and local government,"196,960,542.36","206,663,237.11"
2018-19,WA,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"8,430,274.15","8,694,610.98"
2018-19,WA,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"913,627,063.12","942,309,387.46"
2018-19,WA,Primary health care,Unreferred medical services,Non-government,Individuals,"88,689,633.86","91,470,556.11"
2018-19,WA,Primary health care,Unreferred medical services,Non-government,Other source of funds,"124,633,577.44","128,541,545.86"
2018-19,WA,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"50,294,507.14","51,871,524.75"
2018-19,WA,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"1,301,593,901.44","1,342,406,240.85"
2018-19,WA,Referred medical services,Referred medical services,Australian Government,Premium rebates,"68,918,883.13","71,079,880.39"
2018-19,WA,Referred medical services,Referred medical services,Non-government,Health insurance funds,"200,435,300.81","206,720,082.51"
2018-19,WA,Referred medical services,Referred medical services,Non-government,Individuals,"313,096,411.18","322,913,756.66"
2018-19,WA,Research,Research,Australian Government,Department of Veterans' Affairs,0.00,0.00
2018-19,WA,Research,Research,Australian Government,DoHAC and other,"376,787,728.44","395,448,737.63"
2018-19,WA,Research,Research,Non-government,Individuals,"655,933.14","688,419.27"
2018-19,WA,Research,Research,Non-government,Other source of funds,"25,152,726.52","26,398,455.15"
2018-19,WA,Research,Research,State and local government,State and local government,"51,108,587.85","53,639,821.63"
2019-20,ACT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"5,631,733.54","5,602,399.94"
2019-20,ACT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"107,038,465.12","113,153,684.50"
2019-20,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"103,000,000.00","105,335,631.14"
2019-20,ACT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"32,399,354.96","33,439,890.26"
2019-20,ACT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"21,829,253.21","23,049,007.47"
2019-20,ACT,Hospitals,Private hospitals,Australian Government,Premium rebates,"41,746,200.79","43,086,918.71"
2019-20,ACT,Hospitals,Private hospitals,Non-government,Health insurance funds,"114,860,180.61","118,549,021.72"
2019-20,ACT,Hospitals,Private hospitals,Non-government,Individuals,"23,648,257.84","24,407,743.55"
2019-20,ACT,Hospitals,Private hospitals,Non-government,Other source of funds,"17,532,922.20","18,096,008.24"
2019-20,ACT,Hospitals,Private hospitals,State and local government,State and local government,"11,146,990.34","11,504,986.26"
2019-20,ACT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"52,163,834.43","53,839,124.30"
2019-20,ACT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"454,176,016.53","468,785,758.55"
2019-20,ACT,Hospitals,Public hospital services,Australian Government,Premium rebates,"3,852,164.60","3,975,880.43"
2019-20,ACT,Hospitals,Public hospital services,Non-government,Health insurance funds,"10,598,816.48","10,939,207.30"
2019-20,ACT,Hospitals,Public hospital services,Non-government,Individuals,"10,041,584.69","10,364,079.48"
2019-20,ACT,Hospitals,Public hospital services,Non-government,Other source of funds,"14,572,187.82","15,040,187.14"
2019-20,ACT,Hospitals,Public hospital services,State and local government,State and local government,"849,589,008.14","876,874,346.25"
2019-20,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"121,600.00","126,367.34"
2019-20,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-121,600.00","-126,367.34"
2019-20,ACT,Other services,Administration,Australian Government,Department of Veterans' Affairs,"51,273,945.82","54,929,950.52"
2019-20,ACT,Other services,Administration,Australian Government,DoHAC and other,"33,814,982.40","35,112,146.70"
2019-20,ACT,Other services,Administration,Australian Government,Premium rebates,"8,609,433.40","8,946,966.74"
2019-20,ACT,Other services,Administration,Non-government,Health insurance funds,"23,687,929.83","24,616,616.50"
2019-20,ACT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"120,856.21","129,623.05"
2019-20,ACT,Other services,Aids and appliances,Australian Government,DoHAC and other,"9,729,512.06","10,435,285.57"
2019-20,ACT,Other services,Aids and appliances,Australian Government,Premium rebates,"4,096,417.28","4,393,569.16"
2019-20,ACT,Other services,Aids and appliances,Non-government,Health insurance funds,"11,270,851.47","12,088,432.90"
2019-20,ACT,Other services,Aids and appliances,Non-government,Individuals,"22,157,130.69","23,764,396.90"
2019-20,ACT,Other services,Aids and appliances,Non-government,Other source of funds,"1,775,884.05","1,904,705.72"
2019-20,ACT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"47,109,678.09","48,622,649.05"
2019-20,ACT,Other services,Patient transport services,Australian Government,DoHAC and other,"162,266.51","167,477.85"
2019-20,ACT,Other services,Patient transport services,Australian Government,Premium rebates,"7,311,410.49","7,546,223.21"
2019-20,ACT,Other services,Patient transport services,Non-government,Health insurance funds,"20,116,559.42","20,762,621.36"
2019-20,ACT,Other services,Patient transport services,Non-government,Individuals,"27,275.36","28,151.33"
2019-20,ACT,Other services,Patient transport services,Non-government,Other source of funds,"886,412.78","914,880.75"
2019-20,ACT,Other services,Patient transport services,State and local government,State and local government,"34,634,950.16","35,747,283.68"
2019-20,ACT,Primary health care,All other medications,Australian Government,DoHAC and other,"12,078,951.63","12,053,134.79"
2019-20,ACT,Primary health care,All other medications,Australian Government,Premium rebates,"321,867.84","321,393.04"
2019-20,ACT,Primary health care,All other medications,Non-government,Health insurance funds,"885,584.75","884,278.37"
2019-20,ACT,Primary health care,All other medications,Non-government,Individuals,"124,719,298.70","128,139,509.31"
2019-20,ACT,Primary health care,All other medications,Non-government,Other source of funds,"1,568,488.01","1,566,174.25"
2019-20,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"18,926,163.36","20,909,437.55"
2019-20,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"153,079,712.46","168,832,610.31"
2019-20,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"22,477,614.94","24,833,046.02"
2019-20,ACT,Primary health care,Community health and other,Australian Government,DoHAC and other,"27,294,717.21","28,423,176.65"
2019-20,ACT,Primary health care,Community health and other,Australian Government,Premium rebates,"3,106.53","3,228.32"
2019-20,ACT,Primary health care,Community health and other,Non-government,Health insurance funds,"8,547.27","8,882.37"
2019-20,ACT,Primary health care,Community health and other,Non-government,Other source of funds,"10,648.92","11,066.41"
2019-20,ACT,Primary health care,Community health and other,State and local government,State and local government,"295,471,796.68","307,079,817.25"
2019-20,ACT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"2,320,131.43","2,414,796.65"
2019-20,ACT,Primary health care,Dental services,Australian Government,DoHAC and other,"9,326,537.81","9,707,075.98"
2019-20,ACT,Primary health care,Dental services,Australian Government,Premium rebates,"11,978,095.68","12,466,821.87"
2019-20,ACT,Primary health care,Dental services,Non-government,Health insurance funds,"32,956,441.70","34,301,119.26"
2019-20,ACT,Primary health care,Dental services,Non-government,Individuals,"113,738,100.98","118,378,804.39"
2019-20,ACT,Primary health care,Dental services,Non-government,Other source of funds,"216,704.08","225,545.97"
2019-20,ACT,Primary health care,Dental services,State and local government,State and local government,"15,233,598.15","15,855,154.25"
2019-20,ACT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"77,769,272.90","83,314,483.48"
2019-20,ACT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"38,893,519.00","41,666,757.65"
2019-20,ACT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"4,533,414.78","4,856,662.50"
2019-20,ACT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"12,473,203.10","13,362,584.41"
2019-20,ACT,Primary health care,Other health practitioners,Non-government,Individuals,"15,435,434.63","16,536,033.01"
2019-20,ACT,Primary health care,Other health practitioners,Non-government,Other source of funds,"9,067,720.73","9,714,279.70"
2019-20,ACT,Primary health care,Other health practitioners,State and local government,State and local government,"2,692,600.13","2,884,591.57"
2019-20,ACT,Primary health care,Public health,Australian Government,DoHAC and other,"29,383,952.26","30,330,271.98"
2019-20,ACT,Primary health care,Public health,State and local government,State and local government,"41,814,654.00","43,157,570.35"
2019-20,ACT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"10,747,915.76","11,506,355.15"
2019-20,ACT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"146,438,878.14","156,765,100.50"
2019-20,ACT,Primary health care,Unreferred medical services,Non-government,Individuals,"32,445,200.06","34,734,733.97"
2019-20,ACT,Primary health care,Unreferred medical services,Non-government,Other source of funds,"18,913,440.70","20,248,090.01"
2019-20,ACT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"30,461,073.88","32,610,595.58"
2019-20,ACT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"209,710,329.19","224,508,786.59"
2019-20,ACT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"6,661,503.56","7,131,580.44"
2019-20,ACT,Referred medical services,Referred medical services,Non-government,Health insurance funds,"18,328,410.43","19,621,776.39"
2019-20,ACT,Referred medical services,Referred medical services,Non-government,Individuals,"85,859,999.83","91,918,812.26"
2019-20,ACT,Research,Research,Australian Government,Department of Veterans' Affairs,"2,224,000.00","2,311,192.05"
2019-20,ACT,Research,Research,Australian Government,DoHAC and other,"125,744,115.78","130,673,921.20"
2019-20,ACT,Research,Research,Non-government,Individuals,"236,961.92","246,252.02"
2019-20,ACT,Research,Research,Non-government,Other source of funds,"5,120,249.31","5,320,988.99"
2019-20,ACT,Research,Research,State and local government,State and local government,"33,543,735.47","34,858,819.58"
2019-20,NSW,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"38,070,519.08","38,951,010.63"
2019-20,NSW,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"2,033,800,822.71","2,184,124,268.41"
2019-20,NSW,Capital expenditure,Capital expenditure,State and local government,State and local government,"2,436,000,000.00","2,560,816,900.49"
2019-20,NSW,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"177,768,453.10","183,926,042.41"
2019-20,NSW,Hospitals,Private hospitals,Australian Government,DoHAC and other,"310,449,381.94","330,371,821.73"
2019-20,NSW,Hospitals,Private hospitals,Australian Government,Premium rebates,"953,024,683.25","986,035,796.86"
2019-20,NSW,Hospitals,Private hospitals,Non-government,Health insurance funds,"2,622,144,893.60","2,712,971,421.49"
2019-20,NSW,Hospitals,Private hospitals,Non-government,Individuals,"321,364,169.16","332,495,663.74"
2019-20,NSW,Hospitals,Private hospitals,Non-government,Other source of funds,"414,471,762.42","428,828,341.72"
2019-20,NSW,Hospitals,Private hospitals,State and local government,State and local government,"54,433,985.24","56,319,483.60"
2019-20,NSW,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"199,583,309.50","206,496,527.41"
2019-20,NSW,Hospitals,Public hospital services,Australian Government,DoHAC and other,"8,007,780,110.71","8,286,031,090.38"
2019-20,NSW,Hospitals,Public hospital services,Australian Government,Premium rebates,"167,509,085.69","173,311,308.40"
2019-20,NSW,Hospitals,Public hospital services,Non-government,Health insurance funds,"460,883,229.35","476,847,420.95"
2019-20,NSW,Hospitals,Public hospital services,Non-government,Individuals,"98,715,100.13","102,134,419.11"
2019-20,NSW,Hospitals,Public hospital services,Non-government,Other source of funds,"892,686,299.05","923,607,396.22"
2019-20,NSW,Hospitals,Public hospital services,State and local government,State and local government,"10,092,546,701.12","10,442,134,924.38"
2019-20,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"1,525,200.00","1,576,721.35"
2019-20,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,525,200.00","-1,576,721.35"
2019-20,NSW,Other services,Administration,Australian Government,Department of Veterans' Affairs,0.00,0.00
2019-20,NSW,Other services,Administration,Australian Government,DoHAC and other,"646,345,062.45","668,065,511.37"
2019-20,NSW,Other services,Administration,Australian Government,Premium rebates,"199,340,422.02","206,074,153.94"
2019-20,NSW,Other services,Administration,Non-government,Health insurance funds,"548,463,727.00","566,990,865.97"
2019-20,NSW,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"667,069.12","715,457.95"
2019-20,NSW,Other services,Aids and appliances,Australian Government,DoHAC and other,"198,076,385.49","212,444,738.70"
2019-20,NSW,Other services,Aids and appliances,Australian Government,Premium rebates,"85,465,847.89","91,665,493.98"
2019-20,NSW,Other services,Aids and appliances,Non-government,Health insurance funds,"235,150,086.40","252,207,745.71"
2019-20,NSW,Other services,Aids and appliances,Non-government,Individuals,"527,458,850.83","565,720,428.83"
2019-20,NSW,Other services,Aids and appliances,Non-government,Other source of funds,"6,684,171.87","7,169,038.06"
2019-20,NSW,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"25,203,323.65","26,076,322.84"
2019-20,NSW,Other services,Patient transport services,Australian Government,DoHAC and other,"33,082,683.14","34,228,609.61"
2019-20,NSW,Other services,Patient transport services,Australian Government,Premium rebates,"59,962,451.86","62,039,446.66"
2019-20,NSW,Other services,Patient transport services,Non-government,Health insurance funds,"164,980,235.78","170,694,863.54"
2019-20,NSW,Other services,Patient transport services,Non-government,Individuals,"62,521,305.61","64,686,934.64"
2019-20,NSW,Other services,Patient transport services,Non-government,Other source of funds,"98,887,240.12","102,312,521.72"
2019-20,NSW,Other services,Patient transport services,State and local government,State and local government,"681,774,900.71","705,390,394.72"
2019-20,NSW,Primary health care,All other medications,Australian Government,DoHAC and other,"245,184,700.66","247,836,531.05"
2019-20,NSW,Primary health care,All other medications,Australian Government,Premium rebates,"5,431,229.01","5,472,058.46"
2019-20,NSW,Primary health care,All other medications,Non-government,Health insurance funds,"14,943,442.36","15,055,780.18"
2019-20,NSW,Primary health care,All other medications,Non-government,Individuals,"3,669,304,354.21","3,747,388,953.55"
2019-20,NSW,Primary health care,All other medications,Non-government,Other source of funds,"30,418,864.79","30,647,539.61"
2019-20,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"94,254,688.56","104,131,644.96"
2019-20,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"3,498,878,661.26","3,853,975,003.87"
2019-20,NSW,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"492,638,365.26","544,261,979.24"
2019-20,NSW,Primary health care,Community health and other,Australian Government,DoHAC and other,"463,008,217.63","481,599,996.57"
2019-20,NSW,Primary health care,Community health and other,Australian Government,Premium rebates,"60,714.70","62,765.65"
2019-20,NSW,Primary health care,Community health and other,Non-government,Health insurance funds,"167,049.98","172,692.93"
2019-20,NSW,Primary health care,Community health and other,Non-government,Individuals,"5,614,335.99","5,803,988.61"
2019-20,NSW,Primary health care,Community health and other,Non-government,Other source of funds,"224,675,562.47","232,265,117.01"
2019-20,NSW,Primary health care,Community health and other,State and local government,State and local government,"1,506,513,150.15","1,557,309,080.18"
2019-20,NSW,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"20,378,152.60","21,209,615.07"
2019-20,NSW,Primary health care,Dental services,Australian Government,DoHAC and other,"195,770,249.53","203,757,998.56"
2019-20,NSW,Primary health care,Dental services,Australian Government,Premium rebates,"215,680,896.96","224,481,035.75"
2019-20,NSW,Primary health care,Dental services,Non-government,Health insurance funds,"593,422,785.94","617,635,421.13"
2019-20,NSW,Primary health care,Dental services,Non-government,Individuals,"1,568,815,156.35","1,632,825,420.12"
2019-20,NSW,Primary health care,Dental services,Non-government,Other source of funds,"17,260,389.61","17,964,642.17"
2019-20,NSW,Primary health care,Dental services,State and local government,State and local government,"244,773,984.13","254,761,169.19"
2019-20,NSW,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"60,855,992.00","65,195,228.80"
2019-20,NSW,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"605,652,280.84","648,837,324.40"
2019-20,NSW,Primary health care,Other health practitioners,Australian Government,Premium rebates,"94,702,497.06","101,455,103.45"
2019-20,NSW,Primary health care,Other health practitioners,Non-government,Health insurance funds,"260,563,732.97","279,142,803.03"
2019-20,NSW,Primary health care,Other health practitioners,Non-government,Individuals,"502,922,335.07","538,782,388.15"
2019-20,NSW,Primary health care,Other health practitioners,Non-government,Other source of funds,"282,915,530.16","303,088,358.50"
2019-20,NSW,Primary health care,Public health,Australian Government,DoHAC and other,"553,268,522.78","572,468,427.10"
2019-20,NSW,Primary health care,Public health,Non-government,Individuals,"3,276,389.18","3,389,877.59"
2019-20,NSW,Primary health care,Public health,Non-government,Other source of funds,"131,131,107.95","135,673,260.92"
2019-20,NSW,Primary health care,Public health,State and local government,State and local government,"584,257,126.36","604,494,774.68"
2019-20,NSW,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"37,458,930.52","40,868,118.65"
2019-20,NSW,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"3,246,355,724.50","3,541,518,722.55"
2019-20,NSW,Primary health care,Unreferred medical services,Non-government,Individuals,"209,602,686.13","228,678,911.20"
2019-20,NSW,Primary health care,Unreferred medical services,Non-government,Other source of funds,"553,354,798.43","603,716,370.00"
2019-20,NSW,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"148,935,258.86","162,490,059.00"
2019-20,NSW,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"5,087,413,088.72","5,550,425,461.77"
2019-20,NSW,Referred medical services,Referred medical services,Australian Government,Premium rebates,"182,162,688.41","198,741,562.03"
2019-20,NSW,Referred medical services,Referred medical services,Non-government,Health insurance funds,"501,201,040.86","546,816,028.14"
2019-20,NSW,Referred medical services,Referred medical services,Non-government,Individuals,"1,256,137,863.69","1,370,460,676.29"
2019-20,NSW,Research,Research,Australian Government,Department of Veterans' Affairs,0.00,0.00
2019-20,NSW,Research,Research,Australian Government,DoHAC and other,"1,756,008,685.05","1,815,326,768.16"
2019-20,NSW,Research,Research,Non-government,Individuals,"1,540,898.20","1,592,949.84"
2019-20,NSW,Research,Research,Non-government,Other source of funds,"161,781,861.71","167,246,863.10"
2019-20,NSW,Research,Research,State and local government,State and local government,"364,498,536.32","376,811,319.66"
2019-20,NT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"2,815,866.77","2,852,783.24"
2019-20,NT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"61,291,489.41","66,886,163.43"
2019-20,NT,Capital expenditure,Capital expenditure,State and local government,State and local government,"30,000,000.00","31,288,177.88"
2019-20,NT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"2,420,239.58","2,551,771.57"
2019-20,NT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"8,484,573.18","8,997,166.74"
2019-20,NT,Hospitals,Private hospitals,Australian Government,Premium rebates,"13,445,023.11","14,175,715.51"
2019-20,NT,Hospitals,Private hospitals,Non-government,Health insurance funds,"36,992,534.71","39,002,956.27"
2019-20,NT,Hospitals,Private hospitals,Non-government,Individuals,"-9,387,511.12","-9,897,691.21"
2019-20,NT,Hospitals,Private hospitals,Non-government,Other source of funds,"9,499,428.80","10,015,691.25"
2019-20,NT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"12,775,655.24","13,469,969.73"
2019-20,NT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"342,039,627.78","361,130,019.74"
2019-20,NT,Hospitals,Public hospital services,Australian Government,Premium rebates,"1,883,492.37","1,985,853.93"
2019-20,NT,Hospitals,Public hospital services,Non-government,Health insurance funds,"5,182,226.63","5,463,863.46"
2019-20,NT,Hospitals,Public hospital services,Non-government,Individuals,"10,225,615.74","10,781,344.04"
2019-20,NT,Hospitals,Public hospital services,Non-government,Other source of funds,"41,225,519.08","43,465,989.29"
2019-20,NT,Hospitals,Public hospital services,State and local government,State and local government,"532,400,887.61","561,335,109.89"
2019-20,NT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"17,600.00","18,290.01"
2019-20,NT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-17,600.00","-18,290.01"
2019-20,NT,Other services,Administration,Australian Government,Department of Veterans' Affairs,0.00,0.00
2019-20,NT,Other services,Administration,Australian Government,DoHAC and other,"31,176,999.98","32,393,554.04"
2019-20,NT,Other services,Administration,Australian Government,Premium rebates,"3,094,953.05","3,216,290.86"
2019-20,NT,Other services,Administration,Non-government,Health insurance funds,"8,515,430.37","8,849,278.31"
2019-20,NT,Other services,Administration,Non-government,Individuals,"147,625.41","153,413.07"
2019-20,NT,Other services,Administration,Non-government,Other source of funds,"1,886,595.97","1,960,560.08"
2019-20,NT,Other services,Administration,State and local government,State and local government,"8,873,146.34","9,221,018.57"
2019-20,NT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,0.00,0.00
